Date,Fight Link,Event Link,Fight Number,Round,Fighter 1,Fighter 2,Fighter 1 Link,Fighter 2 Link,Fighter 1 TD,Fighter 2 TD,Fighter 1 Sub Att,Fighter 2 Sub Att,Fighter 1 Rev,Fighter 2 Rev,Fighter 1 Ctrl,Fighter 2 Ctrl,Fighter 1 KD,Fighter 2 KD,Fighter 1 Total SS,Fighter 2 Total SS,Fighter 1 Head SS,Fighter 2 Head SS,Fighter 1 Body SS,Fighter 2 Body SS,Fighter 1 Leg SS,Fighter 2 Leg SS,Fighter 1 Distance SS,Fighter 2 Distance SS,Fighter 1 Clinch SS,Fighter 2 Clinch SS,Fighter 1 Ground SS,Fighter 2 Ground SS
2026-08-22,http://ufcstats.com/fight-details/bf70d01518c80fba,http://ufcstats.com/event-details/a0a69dc9914ef6e1,10,2,MarQuel Mederos,Mason Jones,http://ufcstats.com/fighter-details/e2be0c1a9b886d92,http://ufcstats.com/fighter-details/f6ad6a1e4d600e0d,0 of 1,0 of 0,0,0,0,0,0:04,0:00,1,0,32 of 48,29 of 54,26 of 42,21 of 44,2 of 2,6 of 8,4 of 4,2 of 2,27 of 41,22 of 46,5 of 7,7 of 8,0 of 0,0 of 0
2026-08-22,http://ufcstats.com/fight-details/a4b3becc0cc394d7,http://ufcstats.com/event-details/a0a69dc9914ef6e1,9,1,Carli Judice,Jeisla Chaves,http://ufcstats.com/fighter-details/f1ab6f37492c630a,http://ufcstats.com/fighter-details/8061a3136026a673,0 of 0,0 of 0,0,0,0,0,0:02,0:00,1,0,16 of 35,10 of 28,9 of 25,4 of 21,7 of 10,5 of 6,0 of 0,1 of 1,12 of 31,9 of 27,2 of 2,1 of 1,2 of 2,0 of 0
2026-08-22,http://ufcstats.com/fight-details/a6873fd459587d17,http://ufcstats.com/event-details/a0a69dc9914ef6e1,8,1,Anthony Wint,Terrance Chatman,http://ufcstats.com/fighter-details/b34976c022b24568,http://ufcstats.com/fighter-details/23a81656507b56a3,1 of 3,0 of 0,1,1,0,0,2:42,0:02,0,0,5 of 9,1 of 4,2 of 6,1 of 3,1 of 1,0 of 0,2 of 2,0 of 1,4 of 8,1 of 4,0 of 0,0 of 0,1 of 1,0 of 0
2026-08-22,http://ufcstats.com/fight-details/2bbacf9ed3c64184,http://ufcstats.com/event-details/a0a69dc9914ef6e1,7,1,Jamall Emmers,Lerryan Douglas,http://ufcstats.com/fighter-details/e00a3dee329a51f7,http://ufcstats.com/fighter-details/640a0f838f057a81,0 of 0,0 of 0,0,0,0,0,0:02,0:00,1,0,17 of 29,14 of 27,10 of 20,6 of 17,2 of 3,1 of 2,5 of 6,7 of 8,14 of 25,14 of 25,1 of 1,0 of 2,2 of 3,0 of 0
2026-08-22,http://ufcstats.com/fight-details/5d2c1c4dd444772f,http://ufcstats.com/event-details/a0a69dc9914ef6e1,6,1,Kennedy Nzechukwu,Shamil Gaziev,http://ufcstats.com/fighter-details/8667caa0451d245b,http://ufcstats.com/fighter-details/6747ccd6d1acd266,0 of 0,0 of 0,0,0,0,0,0:00,0:00,0,1,3 of 7,2 of 5,3 of 7,2 of 4,0 of 0,0 of 1,0 of 0,0 of 0,3 of 7,2 of 5,0 of 0,0 of 0,0 of 0,0 of 0
2026-08-22,http://ufcstats.com/fight-details/bbd05484f8c8d739,http://ufcstats.com/event-details/a0a69dc9914ef6e1,5,1,Chris Padilla,Nasrat Haqparast,http://ufcstats.com/fighter-details/06626b6287e1ae1e,http://ufcstats.com/fighter-details/b7b84ccd221be298,0 of 0,0 of 0,0,0,0,0,0:00,0:00,0,0,27 of 43,13 of 36,7 of 21,5 of 25,6 of 8,7 of 7,14 of 14,1 of 4,27 of 43,13 of 36,0 of 0,0 of 0,0 of 0,0 of 0
2026-08-22,http://ufcstats.com/fight-details/bbd05484f8c8d739,http://ufcstats.com/event-details/a0a69dc9914ef6e1,5,2,Chris Padilla,Nasrat Haqparast,http://ufcstats.com/fighter-details/06626b6287e1ae1e,http://ufcstats.com/fighter-details/b7b84ccd221be298,0 of 2,0 of 0,0,0,0,0,0:02,0:00,0,0,46 of 83,29 of 64,16 of 48,20 of 55,11 of 15,9 of 9,19 of 20,0 of 0,43 of 78,25 of 60,3 of 5,4 of 4,0 of 0,0 of 0
2026-08-22,http://ufcstats.com/fight-details/bbd05484f8c8d739,http://ufcstats.com/event-details/a0a69dc9914ef6e1,5,3,Chris Padilla,Nasrat Haqparast,http://ufcstats.com/fighter-details/06626b6287e1ae1e,http://ufcstats.com/fighter-details/b7b84ccd221be298,1 of 1,0 of 2,1,0,0,0,0:43,0:00,1,0,52 of 101,29 of 68,40 of 85,18 of 53,4 of 8,8 of 12,8 of 8,3 of 3,37 of 81,20 of 57,5 of 7,9 of 11,10 of 13,0 of 0
2026-08-22,http://ufcstats.com/fight-details/7e86f774f19e5e59,http://ufcstats.com/event-details/a0a69dc9914ef6e1,4,1,Marcio Barbosa,Ryan Kuse,http://ufcstats.com/fighter-details/c85bad793cd14e28,http://ufcstats.com/fighter-details/d958ed9e5a08c849,0 of 0,0 of 5,0,0,0,0,0:12,0:00,1,0,11 of 25,5 of 21,8 of 22,4 of 17,3 of 3,0 of 3,0 of 0,1 of 1,10 of 23,5 of 21,1 of 2,0 of 0,0 of 0,0 of 0
2026-08-22,http://ufcstats.com/fight-details/116dc88b63113f61,http://ufcstats.com/event-details/a0a69dc9914ef6e1,3,1,Gauge Young,Stan Dorsainvil,http://ufcstats.com/fighter-details/b2a78df161bd67f9,http://ufcstats.com/fighter-details/5be51426ff3c1929,1 of 2,0 of 2,0,0,0,0,1:13,0:01,0,0,48 of 91,23 of 81,32 of 71,19 of 74,7 of 9,2 of 5,9 of 11,2 of 2,38 of 74,18 of 74,3 of 5,5 of 7,7 of 12,0 of 0
2026-08-22,http://ufcstats.com/fight-details/116dc88b63113f61,http://ufcstats.com/event-details/a0a69dc9914ef6e1,3,2,Gauge Young,Stan Dorsainvil,http://ufcstats.com/fighter-details/b2a78df161bd67f9,http://ufcstats.com/fighter-details/5be51426ff3c1929,0 of 1,1 of 3,0,0,0,0,0:27,0:40,0,0,48 of 92,50 of 116,28 of 65,42 of 106,15 of 18,5 of 7,5 of 9,3 of 3,45 of 88,38 of 96,3 of 4,11 of 19,0 of 0,1 of 1
2026-08-22,http://ufcstats.com/fight-details/116dc88b63113f61,http://ufcstats.com/event-details/a0a69dc9914ef6e1,3,3,Gauge Young,Stan Dorsainvil,http://ufcstats.com/fighter-details/b2a78df161bd67f9,http://ufcstats.com/fighter-details/5be51426ff3c1929,2 of 6,1 of 2,0,0,0,0,0:59,0:48,0,0,41 of 70,50 of 101,33 of 56,45 of 92,7 of 13,4 of 7,1 of 1,1 of 2,39 of 65,33 of 79,2 of 5,17 of 22,0 of 0,0 of 0
2026-08-22,http://ufcstats.com/fight-details/11e4a448ce1ae5e3,http://ufcstats.com/event-details/a0a69dc9914ef6e1,2,1,Wes Schultz,Jackson McVey,http://ufcstats.com/fighter-details/b4443fae47e7eb9d,http://ufcstats.com/fighter-details/3eeec2f53cebdf12,1 of 1,0 of 0,1,0,0,0,1:05,0:14,0,1,24 of 43,38 of 78,11 of 27,32 of 69,12 of 15,6 of 9,1 of 1,0 of 0,20 of 37,34 of 72,4 of 6,1 of 3,0 of 0,3 of 3
2026-08-22,http://ufcstats.com/fight-details/97fb716bc7b8751a,http://ufcstats.com/event-details/a0a69dc9914ef6e1,1,1,Shanelle Dyer,Elise Reed,http://ufcstats.com/fighter-details/cfbb3edab781dfd2,http://ufcstats.com/fighter-details/ac7c765882f2c68c,0 of 0,0 of 0,0,0,0,0,0:38,0:06,0,0,37 of 63,19 of 40,19 of 40,3 of 19,8 of 9,10 of 11,10 of 14,6 of 10,32 of 57,17 of 37,5 of 6,2 of 3,0 of 0,0 of 0
2026-08-22,http://ufcstats.com/fight-details/97fb716bc7b8751a,http://ufcstats.com/event-details/a0a69dc9914ef6e1,1,2,Shanelle Dyer,Elise Reed,http://ufcstats.com/fighter-details/cfbb3edab781dfd2,http://ufcstats.com/fighter-details/ac7c765882f2c68c,1 of 1,0 of 0,0,0,0,0,0:46,0:09,0,0,66 of 98,20 of 43,39 of 71,7 of 22,19 of 19,6 of 10,8 of 8,7 of 11,50 of 81,17 of 39,16 of 17,3 of 4,0 of 0,0 of 0
2026-08-22,http://ufcstats.com/fight-details/97fb716bc7b8751a,http://ufcstats.com/event-details/a0a69dc9914ef6e1,1,3,Shanelle Dyer,Elise Reed,http://ufcstats.com/fighter-details/cfbb3edab781dfd2,http://ufcstats.com/fighter-details/ac7c765882f2c68c,0 of 0,0 of 0,0,0,0,0,0:00,0:03,0,0,33 of 56,10 of 21,26 of 47,3 of 8,2 of 4,5 of 10,5 of 5,2 of 3,32 of 53,10 of 21,1 of 3,0 of 0,0 of 0,0 of 0
